date,pacientes_uti_ultimo_dia
2020-09-11,4769.142857142857
2020-09-12,4725.0
2020-09-13,4682.571428571428
2020-09-14,4638.142857142857
2020-09-15,4587.571428571428
2020-09-16,4541.857142857143
2020-09-17,4502.285714285715
2020-09-18,4445.142857142857
2020-09-19,4400.714285714285
2020-09-20,4355.857142857143
2020-09-21,4305.571428571428
2020-09-22,4264.571428571428
2020-09-23,4220.571428571428
2020-09-24,4166.428571428572
2020-09-25,4129.714285714285
2020-09-26,4084.714285714286
2020-09-27,4036.714285714286
2020-09-28,4005.5714285714284
2020-09-29,3975.4285714285716
2020-09-30,3942.714285714286
2020-10-01,3925.0
2020-10-02,3907.0
2020-10-03,3883.8571428571427
2020-10-04,3861.4285714285716
2020-10-05,3832.285714285714
2020-10-06,3810.714285714286
2020-10-07,3796.5714285714284
2020-10-08,3769.0
2020-10-09,3740.5714285714284
2020-10-10,3718.285714285714
2020-10-11,3686.1428571428573
2020-10-12,3647.0
2020-10-13,3609.5714285714284
2020-10-14,3566.8571428571427
2020-10-15,3530.285714285714
2020-10-16,3481.0
2020-10-17,3434.0
2020-10-18,3399.714285714286
2020-10-19,3361.714285714286
2020-10-20,3299.0
2020-10-21,3242.285714285714
2020-10-22,3191.4285714285716
2020-10-23,3154.0
2020-10-24,3120.285714285714
2020-10-25,3097.4285714285716
2020-10-26,3071.714285714286
2020-10-27,3066.285714285714
2020-10-28,3057.4285714285716
2020-10-29,3053.5714285714284
2020-10-30,3040.4285714285716
2020-10-31,3030.1428571428573
2020-11-01,3008.5714285714284
2020-11-02,2994.714285714286
2020-11-03,2975.285714285714
2020-11-04,2965.1428571428573
2020-11-05,2956.0
2020-11-06,2970.5714285714284
2020-11-07,2981.714285714286
2020-11-08,2982.5714285714284
2020-11-09,3004.5714285714284
2020-11-10,3029.5714285714284
2020-11-11,3046.285714285714
2020-11-12,3060.0
2020-11-13,3072.4285714285716
2020-11-14,3091.4285714285716
2020-11-15,3120.714285714286
2020-11-16,3141.8571428571427
2020-11-17,3167.5714285714284
2020-11-18,3219.8571428571427
2020-11-19,3279.285714285714
2020-11-20,3345.714285714286
2020-11-21,3409.8571428571427
2020-11-22,3494.5714285714284
2020-11-23,3569.714285714286
2020-11-24,3648.714285714286
2020-11-25,3714.1428571428573
2020-11-26,3771.4285714285716
2020-11-27,3829.285714285714
2020-11-28,3883.8571428571427
2020-11-29,3914.5714285714284
2020-11-30,3963.8571428571427
2020-12-01,4005.4285714285716
2020-12-02,4045.8571428571427
2020-12-03,4089.8571428571427
2020-12-04,4129.857142857143
2020-12-05,4184.714285714285
2020-12-06,4245.285714285715
2020-12-07,4288.571428571428
2020-12-08,4335.285714285715
2020-12-09,4380.285714285715
2020-12-10,4430.285714285715
2020-12-11,4477.142857142857
2020-12-12,4523.142857142857
2020-12-13,4571.571428571428
2020-12-14,4615.571428571428
2020-12-15,4664.571428571428
2020-12-16,4707.428571428572
2020-12-17,4748.571428571428
2020-12-18,4783.285714285715
2020-12-19,4792.142857142857
2020-12-20,4795.142857142857
2020-12-21,4809.0
2020-12-22,4814.142857142857
2020-12-23,4809.0
2020-12-24,4800.142857142857
2020-12-25,4789.285714285715
2020-12-26,4766.285714285715
2020-12-27,4761.142857142857
2020-12-28,4762.142857142857
2020-12-29,4771.714285714285
2020-12-30,4779.571428571428
2020-12-31,4803.857142857143
2021-01-01,4813.571428571428
2021-01-02,4839.571428571428
2021-01-03,4869.0
2021-01-04,4906.142857142857
2021-01-05,4938.0
2021-01-06,4988.0
2021-01-07,5028.857142857143
2021-01-08,5103.285714285715
2021-01-09,5181.714285714285
2021-01-10,5249.428571428572
2021-01-11,5312.0
2021-01-12,5387.857142857143
2021-01-13,5456.714285714285
2021-01-14,5541.0
2021-01-15,5617.285714285715
2021-01-16,5692.0
2021-01-17,5771.285714285715
2021-01-18,5837.714285714285
2021-01-19,5891.0
2021-01-20,5952.571428571428
2021-01-21,5994.714285714285
2021-01-22,6030.0
2021-01-23,6063.714285714285
2021-01-24,6095.0
2021-01-25,6110.428571428572
2021-01-26,6124.714285714285
2021-01-27,6107.714285714285
2021-01-28,6099.142857142857
2021-01-29,6081.142857142857
2021-01-30,6067.714285714285
2021-01-31,6043.428571428572
2021-02-01,6032.0
2021-02-02,6008.714285714285
2021-02-03,6009.714285714285
2021-02-04,5991.857142857143
2021-02-05,5984.428571428572
2021-02-06,5979.0
2021-02-07,5988.285714285715
2021-02-08,5985.714285714285
2021-02-09,5989.285714285715
2021-02-10,5986.571428571428
2021-02-11,5990.857142857143
2021-02-12,5983.714285714285
2021-02-13,5976.857142857143
2021-02-14,5957.571428571428
2021-02-15,5959.714285714285
2021-02-16,5974.428571428572
2021-02-17,5993.428571428572
2021-02-18,6018.857142857143
2021-02-19,6067.714285714285
2021-02-20,6114.0
2021-02-21,6164.0
2021-02-22,6223.285714285715
2021-02-23,6279.571428571428
2021-02-24,6361.571428571428
2021-02-25,6448.428571428572
2021-02-26,6533.142857142857
2021-02-27,6641.0
2021-02-28,6772.571428571428
2021-03-01,6896.714285714285
2021-03-02,7033.0
2021-03-03,7181.428571428572
2021-03-04,7347.428571428572
2021-03-05,7534.571428571428
2021-03-06,7725.285714285715
2021-03-07,7912.142857142857
2021-03-08,8117.714285714285
2021-03-09,8347.0
2021-03-10,8570.857142857143
2021-03-11,8805.142857142857
2021-03-12,9037.0
2021-03-13,9266.57142857143
2021-03-14,9526.285714285714
2021-03-15,9783.857142857143
2021-03-16,10029.285714285714
2021-03-17,10289.714285714286
2021-03-18,10554.57142857143
2021-03-19,10835.57142857143
2021-03-20,11126.857142857143
2021-03-21,11378.57142857143
2021-03-22,11633.42857142857
2021-03-23,11872.0
2021-03-24,12083.857142857143
2021-03-25,12258.57142857143
2021-03-26,12414.142857142857
2021-03-27,12555.714285714286
2021-03-28,12678.857142857143
2021-03-29,12771.142857142857
2021-03-30,12850.0
2021-03-31,12902.57142857143
2021-04-01,12963.57142857143
2021-04-02,13003.714285714286
2021-04-03,13017.714285714286
2021-04-04,13028.142857142857
2021-04-05,13031.57142857143
2021-04-06,13022.285714285714
2021-04-07,13001.142857142857
2021-04-08,12943.285714285714
2021-04-09,12871.285714285714
2021-04-10,12760.142857142857
2021-04-11,12650.57142857143
2021-04-12,12520.285714285714
2021-04-13,12378.857142857143
2021-04-14,12236.57142857143
2021-04-15,12106.857142857143
2021-04-16,11960.285714285714
2021-04-17,11853.42857142857
2021-04-18,11702.42857142857
2021-04-19,11567.42857142857
2021-04-20,11459.0
2021-04-21,11348.857142857143
2021-04-22,11222.857142857143
2021-04-23,11109.42857142857
2021-04-24,10984.0
2021-04-25,10890.57142857143
2021-04-26,10796.285714285714
2021-04-27,10687.57142857143
2021-04-28,10591.42857142857
2021-04-29,10519.142857142857
2021-04-30,10437.857142857143
2021-05-01,10359.857142857143
2021-05-02,10298.142857142857
2021-05-03,10253.0
2021-05-04,10227.57142857143
2021-05-05,10207.714285714286
2021-05-06,10170.714285714286
2021-05-07,10148.857142857143
2021-05-08,10136.285714285714
2021-05-09,10112.714285714286
2021-05-10,10087.285714285714
2021-05-11,10048.857142857143
